product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,device_type,location
Grocery Shopping,Refined Sunflower Oil,Grofers,1401.67,32.76,68.15,263,Debit Card,Successful,iOS,Suburban
Hotel Booking,Dormitory Bed,Fab Hotels,9317.54,24.39,68.68,135,UPI,Successful,Android,Urban
Education Fee,Data Science Bootcamp,Vedantu,6837.89,39.61,50.34,119,Bank Transfer,Successful,Android,Rural
Movie Ticket,Baahubali 2,PVR Cinemas,227.19,49.76,90.65,822,Bank Transfer,Pending,Android,Urban
Insurance Premium,Home Insurance,HDFC Life,1956.09,3.33,68.22,480,Debit Card,Successful,Android,Urban
Food Delivery,Pizza Margherita,Foodpanda,9207.92,1.46,42.41,853,Bank Transfer,Successful,iOS,Urban
Electricity Bill,Commercial Bill,Tata Power,1527.35,39.01,48.25,260,UPI,Successful,Android,Urban
Mobile Recharge,Postpaid Plan 599,Idea,8369.01,35.97,27.46,277,Credit Card,Successful,Web,Urban
Bus Ticket,Volvo Multi-Axle,Goibibo,651.02,11.21,96.61,630,Wallet Balance,Successful,Android,Suburban
Electricity Bill,Industrial Bill,MSEDCL,56.44,35.46,15.64,116,Debit Card,Successful,Android,Urban
Gift Card,Rs. 2000 Gift Voucher,Flipkart,7947.11,37.09,98.48,543,Bank Transfer,Successful,iOS,Rural
Hotel Booking,Dormitory Bed,Fab Hotels,2435.55,9.96,7.45,614,Bank Transfer,Successful,Android,Suburban
Hotel Booking,Deluxe Room,Treebo,1842.44,38.69,22.38,553,Credit Card,Successful,Android,Urban
Streaming Service,Basic Plan,SonyLIV,2013.36,42.28,11.63,228,Credit Card,Successful,Web,Suburban
Rent Payment,2BHK Flat Deposit,Housing.com,4921.69,45.75,4.26,235,Debit Card,Successful,Android,Urban
Grocery Shopping,Dairy Milk Chocolate,Nature's Basket,5146.56,40.35,47.28,400,Wallet Balance,Successful,Android,Urban
Food Delivery,Masala Dosa,Zomato,5223.3,48.71,92.19,208,UPI,Successful,Android,Urban
Mobile Recharge,Postpaid Plan 599,Airtel,4495.57,19.35,55.92,99,Credit Card,Successful,iOS,Rural
Electricity Bill,Temporary Connection Bill,Tata Power,2715.68,46.03,13.48,879,Credit Card,Successful,iOS,Suburban
Water Bill,Borewell Charges,Delhi Jal Board,5403.71,30.07,97.65,993,Bank Transfer,Successful,Web,Urban
Gift Card,Rs. 500 E-Gift Card,Pantaloons,1964.85,15.2,84.35,965,Debit Card,Successful,iOS,Urban
Loan Repayment,Education Loan EMI,Bajaj Finserv,1057.21,22.26,3.35,700,UPI,Successful,Android,Urban
Online Shopping,Wireless Earbuds,Amazon,8211.9,48.06,27.48,217,Wallet Balance,Successful,Web,Rural
Loan Repayment,Home Loan EMI,SBI,7033.6,44.62,70.15,747,Wallet Balance,Successful,Android,Suburban
Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,3532.64,34.39,40.31,184,Wallet Balance,Successful,Android,Urban
Gas Bill,Domestic LPG Cylinder,Gujarat Gas,5682.54,20.48,4.25,122,Bank Transfer,Successful,iOS,Suburban
Education Fee,Python Programming Course,Vedantu,2261.03,13.48,90.27,73,Debit Card,Successful,Android,Urban
Gift Card,Rs. 500 E-Gift Card,Flipkart,7309.33,45.9,75.41,341,Debit Card,Successful,Android,Suburban
Internet Bill,4G Unlimited Plan,Hathway,8677.17,16.38,70.98,313,Debit Card,Successful,Android,Urban
Gift Card,Rs. 250 Coffee Shop Card,Flipkart,7489.75,14.03,43.28,43,Bank Transfer,Successful,iOS,Urban
Bus Ticket,Non-AC Seater,AbhiBus,7327.32,29.74,11.22,141,Wallet Balance,Successful,Android,Urban
Rent Payment,2BHK Flat Deposit,OYO Life,4895.06,14.79,44.96,235,Bank Transfer,Successful,iOS,Urban
Taxi Fare,Airport Transfer,Jugnoo,7211.04,45.91,13.43,553,Credit Card,Successful,Android,Suburban
Online Shopping,Steel Toe Shoes,Amazon,6454.61,39.31,72.79,739,Bank Transfer,Successful,Android,Urban
Insurance Premium,Home Insurance,HDFC Life,3107.16,0.99,65.43,556,Bank Transfer,Successful,Android,Urban
Hotel Booking,Service Apartment,OYO Rooms,5402.35,43.07,25.4,869,Bank Transfer,Successful,iOS,Urban
Rent Payment,PG Accommodation,Airbnb,2630.86,31.12,6.24,571,Credit Card,Successful,Android,Urban
Internet Bill,Fiber 100Mbps Plan,Jio Fiber,42.9,23.56,99.96,354,UPI,Successful,Android,Urban
Movie Ticket,Baahubali 2,SPI Cinemas,3538.34,0.97,80.68,644,UPI,Successful,Android,Urban
Flight Booking,Pune to Goa,Ixigo,570.81,48.63,78.47,307,Debit Card,Successful,iOS,Urban
Taxi Fare,City Ride,Ola,836.56,45.38,35.71,480,Wallet Balance,Successful,Android,Suburban
Gas Bill,Industrial Gas Supply,Indraprastha Gas,1831.64,38.0,0.43,578,Credit Card,Successful,Android,Rural
Electricity Bill,Temporary Connection Bill,Tata Power,1208.93,29.26,40.92,312,Debit Card,Successful,iOS,Suburban
Movie Ticket,Avengers: Endgame,Carnival Cinemas,3129.6,41.1,88.69,600,Wallet Balance,Successful,iOS,Rural
Water Bill,Borewell Charges,Hyderabad Water Board,6933.82,7.83,93.04,858,Wallet Balance,Successful,Android,Urban
Taxi Fare,Airport Transfer,Rapido,3562.78,31.44,64.37,231,Debit Card,Failed,Android,Urban
Mobile Recharge,Postpaid Plan 599,BSNL,1663.96,18.68,80.37,377,Bank Transfer,Successful,Android,Urban
Rent Payment,Commercial Space Rent,OYO Life,9950.54,1.31,97.05,818,Credit Card,Successful,Android,Suburban
Movie Ticket,Baahubali 2,Carnival Cinemas,2110.45,8.59,37.96,683,Debit Card,Successful,Android,Rural
Bus Ticket,Volvo Multi-Axle,Paytm Bus,1276.29,23.62,15.9,233,Wallet Balance,Successful,Web,Urban
Bus Ticket,Volvo Multi-Axle,Paytm Bus,6619.43,15.21,80.62,122,Credit Card,Successful,Android,Urban
Education Fee,Digital Marketing Certification,Unacademy,7919.26,42.02,91.1,521,Debit Card,Successful,Android,Suburban
Electricity Bill,Industrial Bill,CESC,5519.81,16.55,67.07,733,Debit Card,Successful,Android,Urban
Gift Card,Rs. 500 E-Gift Card,Amazon Pay,5989.86,44.59,16.94,626,Debit Card,Successful,iOS,Urban
Loan Repayment,Business Loan Repayment,Axis Bank,86.53,21.44,3.23,916,Bank Transfer,Successful,Android,Urban
Electricity Bill,Commercial Bill,MSEDCL,3871.23,16.31,88.69,743,Wallet Balance,Successful,Android,Urban
Grocery Shopping,Whole Wheat Atta,Flipkart Supermart,2936.18,19.48,59.17,205,Credit Card,Successful,Android,Rural
Food Delivery,Chilli Paneer,Domino's,2655.09,38.58,89.75,177,UPI,Successful,iOS,Suburban
Mobile Recharge,Data Pack 50GB,Jio,9874.69,43.58,22.22,320,Debit Card,Successful,Android,Urban
Flight Booking,Pune to Goa,Cleartrip,3899.42,35.58,99.23,304,UPI,Successful,Android,Suburban
Food Delivery,Vegetable Biryani,Uber Eats,3151.88,40.66,28.29,322,Bank Transfer,Successful,Web,Suburban
Education Fee,IELTS Training,Udemy,5286.2,33.72,73.08,71,Debit Card,Successful,Android,Urban
Grocery Shopping,Dairy Milk Chocolate,Amazon Pantry,7305.75,35.25,64.55,201,Bank Transfer,Successful,Android,Urban
Gaming Credits,1000 Game Coins,PUBG Mobile,5914.57,0.95,1.24,37,Wallet Balance,Successful,Android,Urban
Electricity Bill,Temporary Connection Bill,CESC,9534.49,21.45,78.61,319,Bank Transfer,Successful,Android,Urban
Electricity Bill,Residential Bill,CESC,7889.21,42.36,58.79,57,Wallet Balance,Successful,Android,Urban
Electricity Bill,Residential Bill,MSEDCL,3648.04,3.92,64.5,674,Bank Transfer,Successful,iOS,Suburban
Gift Card,Rs. 250 Coffee Shop Card,Pantaloons,4480.53,18.37,11.64,63,Credit Card,Successful,iOS,Urban
Food Delivery,Chilli Paneer,Domino's,6610.9,41.48,77.39,843,Debit Card,Successful,Android,Urban
Hotel Booking,Deluxe Room,MakeMyTrip,5290.79,13.22,58.4,432,Wallet Balance,Successful,iOS,Suburban
Insurance Premium,Travel Insurance,LIC,5730.81,35.26,99.13,861,Bank Transfer,Successful,iOS,Urban
Gaming Credits,Legendary Weapon,Call of Duty Mobile,8192.13,1.29,34.21,768,Wallet Balance,Successful,iOS,Urban
Taxi Fare,Outstation Trip,Rapido,4365.33,36.49,95.39,645,UPI,Successful,Android,Rural
Grocery Shopping,Dairy Milk Chocolate,BigBasket,905.17,27.29,64.56,827,Bank Transfer,Successful,Web,Suburban
Streaming Service,Student Offer,ZEE5,7713.76,29.88,81.92,982,Bank Transfer,Successful,Android,Urban
Rent Payment,Co-working Space,Nestaway,2555.63,26.09,84.72,894,Wallet Balance,Successful,iOS,Suburban
Education Fee,Python Programming Course,BYJU'S,28.28,44.99,81.73,123,Credit Card,Successful,Android,Urban
Loan Repayment,Home Loan EMI,Bajaj Finserv,2007.04,27.14,46.35,114,Bank Transfer,Successful,Android,Urban
Streaming Service,Basic Plan,Netflix,5057.05,43.68,47.01,667,UPI,Successful,iOS,Urban
Rent Payment,PG Accommodation,Nestaway,6610.8,29.18,99.24,823,UPI,Failed,iOS,Urban
Education Fee,Digital Marketing Certification,Unacademy,1964.52,5.81,26.68,638,Debit Card,Successful,Android,Urban
Electricity Bill,Commercial Bill,CESC,2684.43,48.73,11.58,112,Debit Card,Successful,Android,Suburban
Gas Bill,Industrial Gas Supply,Mahanagar Gas,1595.44,35.77,54.49,440,Debit Card,Successful,Web,Urban
Gas Bill,Auto LPG,Bharat Gas,1155.24,14.63,65.27,579,Credit Card,Successful,Android,Urban
Insurance Premium,Motor Insurance,Max Life,2971.5,3.9,67.53,816,Wallet Balance,Failed,Android,Urban
Taxi Fare,Share Ride,Jugnoo,6765.71,46.44,86.99,922,Wallet Balance,Successful,Android,Urban
Flight Booking,Ahmedabad to Jaipur,Cleartrip,7970.15,29.39,96.35,425,Bank Transfer,Successful,Android,Urban
Movie Ticket,Baahubali 2,Carnival Cinemas,3339.98,18.81,8.04,722,Wallet Balance,Successful,Android,Urban
Food Delivery,Chilli Paneer,Uber Eats,1428.5,44.47,59.78,116,Bank Transfer,Successful,Android,Suburban
Insurance Premium,Term Life Policy,ICICI Prudential,3818.54,48.12,36.86,481,Bank Transfer,Successful,Android,Suburban
Electricity Bill,Temporary Connection Bill,BSES,114.58,0.63,20.4,879,Wallet Balance,Pending,Android,Suburban
Gaming Credits,Premium Skin,Minecraft,5741.06,45.63,1.43,570,Bank Transfer,Successful,iOS,Urban
Bus Ticket,Semi-Sleeper,Goibibo,5913.64,29.82,93.39,875,Bank Transfer,Successful,Android,Urban
Internet Bill,Business Internet Plan,BSNL Broadband,4375.6,37.57,4.88,666,Debit Card,Successful,Android,Suburban
Streaming Service,Standard Plan,ZEE5,6580.66,32.74,90.78,539,UPI,Successful,iOS,Suburban
Movie Ticket,Avengers: Endgame,SPI Cinemas,424.5,8.05,9.29,830,Credit Card,Successful,Web,Urban
Education Fee,Python Programming Course,Udemy,8047.29,41.18,89.89,474,Wallet Balance,Successful,iOS,Urban
Hotel Booking,Service Apartment,MakeMyTrip,2625.2,24.2,3.65,284,UPI,Successful,Web,Urban
Flight Booking,Ahmedabad to Jaipur,Ixigo,2166.42,14.81,8.74,607,Bank Transfer,Successful,Android,Urban
Movie Ticket,Avengers: Endgame,SPI Cinemas,8365.6,42.49,85.03,347,UPI,Successful,Android,Urban
Online Shopping,Fitness Tracker,Amazon,9269.83,23.92,26.14,144,Bank Transfer,Successful,Android,Urban
Education Fee,Data Science Bootcamp,Udemy,2543.58,37.47,39.05,804,Credit Card,Successful,Android,Urban
Bus Ticket,Semi-Sleeper,MakeMyTrip Bus,3639.69,29.84,70.97,904,Wallet Balance,Successful,iOS,Urban
Education Fee,Data Science Bootcamp,BYJU'S,6255.35,11.47,18.36,925,Debit Card,Successful,Android,Rural
Bus Ticket,Sleeper Class,MakeMyTrip Bus,8858.35,22.12,78.74,64,Bank Transfer,Successful,iOS,Suburban
Bus Ticket,Non-AC Seater,AbhiBus,5234.69,13.6,78.38,817,Wallet Balance,Successful,iOS,Urban
Education Fee,Python Programming Course,BYJU'S,1401.7,32.35,77.06,170,Credit Card,Successful,iOS,Urban
Food Delivery,Butter Chicken,Swiggy,8763.32,6.79,42.19,323,UPI,Successful,Android,Urban
Insurance Premium,Term Life Policy,SBI Life,1597.69,25.8,48.67,521,UPI,Successful,iOS,Urban
Insurance Premium,Motor Insurance,ICICI Prudential,2143.49,4.28,18.17,338,Bank Transfer,Successful,Android,Rural
Loan Repayment,Education Loan EMI,HDFC Bank,8671.27,33.96,93.26,419,Bank Transfer,Successful,Android,Suburban
Electricity Bill,Industrial Bill,BSES,2955.61,15.46,63.57,442,UPI,Successful,Android,Suburban
Water Bill,Commercial Property,Bangalore Water Supply,1909.36,28.74,90.62,647,UPI,Successful,iOS,Urban
Flight Booking,Pune to Goa,EaseMyTrip,7435.35,31.7,52.83,397,Credit Card,Successful,Android,Urban
Mobile Recharge,Annual Plan 2999,Idea,2459.74,28.72,56.49,546,Debit Card,Successful,iOS,Suburban
Flight Booking,Ahmedabad to Jaipur,Ixigo,5199.28,36.48,64.27,301,Wallet Balance,Successful,iOS,Suburban
Streaming Service,Basic Plan,Hotstar,8770.15,39.66,45.01,832,Credit Card,Successful,Android,Urban
Grocery Shopping,Whole Wheat Atta,Nature's Basket,7107.54,7.11,2.31,329,UPI,Successful,iOS,Urban
Movie Ticket,3 Idiots,SPI Cinemas,3502.52,34.96,4.4,649,Debit Card,Successful,iOS,Suburban
Movie Ticket,Dangal,Cinepolis,6185.16,14.62,12.06,777,Bank Transfer,Successful,Android,Urban
Grocery Shopping,Mixed Fruit Jam,Amazon Pantry,3827.62,49.11,87.12,693,Credit Card,Successful,iOS,Urban
Electricity Bill,Agricultural Bill,Tata Power,3873.96,47.15,58.26,351,Bank Transfer,Successful,Android,Urban
Streaming Service,Student Offer,ZEE5,9450.77,17.52,60.89,272,Bank Transfer,Successful,Android,Urban
Hotel Booking,Dormitory Bed,Fab Hotels,5659.58,32.34,71.85,937,Debit Card,Successful,iOS,Urban
Gas Bill,Domestic LPG Cylinder,Mahanagar Gas,5264.31,19.12,85.51,82,Debit Card,Successful,Android,Suburban
Online Shopping,Wireless Earbuds,Flipkart,9666.56,6.92,16.45,904,Debit Card,Successful,iOS,Urban
Gaming Credits,1000 Game Coins,Roblox,7823.5,32.25,15.56,409,Bank Transfer,Successful,Web,Suburban
Online Shopping,Steel Toe Shoes,Snapdeal,9316.72,48.48,15.03,779,Wallet Balance,Successful,Android,Suburban
Bus Ticket,AC Seater,RedBus,6016.49,41.9,32.74,918,UPI,Successful,Android,Rural
Hotel Booking,Deluxe Room,Treebo,5825.14,1.02,50.04,765,Debit Card,Successful,iOS,Urban
Streaming Service,Basic Plan,Netflix,4838.26,9.16,49.51,617,Debit Card,Successful,Android,Rural
Rent Payment,1BHK Apartment Rent,Airbnb,7053.16,27.26,0.95,7,Credit Card,Successful,iOS,Urban
Education Fee,IELTS Training,Vedantu,8713.3,28.45,77.01,805,Wallet Balance,Successful,Web,Urban
Gas Bill,Piped Natural Gas,Gujarat Gas,6412.32,17.23,17.39,994,Wallet Balance,Successful,Android,Urban
Electricity Bill,Commercial Bill,Reliance Energy,1828.85,12.65,65.8,438,Bank Transfer,Successful,Android,Rural
Loan Repayment,Car Loan Installment,ICICI Bank,2251.54,8.73,71.4,409,Debit Card,Successful,iOS,Urban
Insurance Premium,Travel Insurance,Max Life,4747.46,21.13,4.87,503,Credit Card,Pending,iOS,Urban
Taxi Fare,Rental Package,Rapido,5231.83,49.32,74.16,823,Bank Transfer,Successful,iOS,Urban
Online Shopping,Laptop Backpack,Myntra,1933.59,30.76,87.48,445,Bank Transfer,Successful,iOS,Urban
Food Delivery,Masala Dosa,Uber Eats,8876.22,37.28,53.94,805,Debit Card,Successful,iOS,Urban
Gas Bill,Auto LPG,Mahanagar Gas,7991.03,5.25,90.26,442,Debit Card,Successful,Web,Urban
Food Delivery,Pizza Margherita,Swiggy,6926.49,26.61,92.95,263,UPI,Successful,iOS,Suburban
Insurance Premium,Term Life Policy,ICICI Prudential,4486.83,24.06,30.86,364,Wallet Balance,Successful,Android,Urban
Online Shopping,Laptop Backpack,Myntra,7946.33,46.11,88.81,466,Credit Card,Successful,iOS,Urban
Movie Ticket,Baahubali 2,Carnival Cinemas,4510.2,28.2,61.48,935,Debit Card,Successful,iOS,Urban
Education Fee,Python Programming Course,Udemy,6010.77,18.62,44.78,128,Debit Card,Successful,iOS,Urban
Internet Bill,Fiber 100Mbps Plan,ACT Fibernet,7280.91,43.77,28.52,330,Bank Transfer,Successful,Android,Urban
Education Fee,Digital Marketing Certification,Unacademy,2155.65,18.9,8.35,996,Wallet Balance,Successful,iOS,Urban
Water Bill,Commercial Property,Mumbai Water,1276.65,47.95,87.06,54,Wallet Balance,Successful,iOS,Urban
Education Fee,Python Programming Course,Coursera,7081.57,43.22,76.7,768,Wallet Balance,Successful,Android,Urban
Streaming Service,Standard Plan,Hotstar,6401.47,23.61,87.59,217,UPI,Successful,iOS,Suburban
Water Bill,Borewell Charges,Hyderabad Water Board,3483.29,28.99,69.63,353,Wallet Balance,Successful,Android,Urban
Streaming Service,Premium Plan,ZEE5,6778.88,19.72,44.96,919,Credit Card,Successful,Android,Urban
Food Delivery,Butter Chicken,Domino's,2724.78,29.48,84.21,116,Credit Card,Successful,Web,Suburban
Rent Payment,2BHK Flat Deposit,Housing.com,1810.13,16.47,99.91,914,Wallet Balance,Successful,Android,Suburban
Water Bill,Industrial Use,Delhi Jal Board,4879.24,10.15,5.93,611,Bank Transfer,Successful,Android,Suburban
Online Shopping,Wireless Earbuds,Nykaa,6484.33,24.84,57.81,422,Credit Card,Successful,iOS,Urban
Electricity Bill,Industrial Bill,MSEDCL,7373.7,43.64,51.78,402,Credit Card,Successful,iOS,Urban
Taxi Fare,Airport Transfer,Meru,2155.04,38.1,14.47,906,Credit Card,Successful,Android,Urban
Streaming Service,Premium Plan,SonyLIV,9856.75,15.95,82.17,617,Wallet Balance,Successful,Android,Suburban
Food Delivery,Pizza Margherita,Domino's,1511.61,33.27,69.73,974,Debit Card,Successful,Android,Urban
Mobile Recharge,Annual Plan 2999,Jio,3108.42,48.29,69.94,284,Bank Transfer,Successful,Android,Urban
Insurance Premium,Health Insurance,ICICI Prudential,5250.2,10.65,33.03,92,UPI,Successful,Android,Urban
Food Delivery,Masala Dosa,Swiggy,3483.87,16.02,34.71,470,Bank Transfer,Successful,Android,Urban
Internet Bill,Business Internet Plan,Jio Fiber,4071.61,24.26,50.58,439,Wallet Balance,Successful,iOS,Suburban
Bus Ticket,Non-AC Seater,Goibibo,8154.56,32.31,82.19,287,UPI,Successful,Android,Urban
Movie Ticket,PK,Cinepolis,6903.3,14.87,3.23,614,Bank Transfer,Successful,iOS,Suburban
Gas Bill,Auto LPG,Indraprastha Gas,170.61,34.4,0.16,769,Wallet Balance,Successful,Android,Urban
Gas Bill,Domestic LPG Cylinder,Bharat Gas,6851.39,37.48,68.38,680,Debit Card,Successful,iOS,Suburban
Electricity Bill,Temporary Connection Bill,BSES,9038.29,38.48,53.87,539,UPI,Successful,Web,Urban
Food Delivery,Vegetable Biryani,Foodpanda,9013.02,3.69,30.66,125,UPI,Successful,Android,Urban
Gas Bill,Commercial Gas Connection,Indraprastha Gas,8372.32,47.21,17.09,553,Credit Card,Successful,Android,Urban
Food Delivery,Vegetable Biryani,Swiggy,6181.74,8.09,71.11,951,Wallet Balance,Successful,iOS,Urban
Water Bill,Tanker Supply,Bangalore Water Supply,6030.32,34.33,48.01,393,Credit Card,Successful,Android,Urban
Internet Bill,Student Special Plan,Hathway,2619.8,37.59,51.13,105,Credit Card,Successful,Web,Urban
Insurance Premium,Motor Insurance,Max Life,9441.23,40.73,98.8,409,Credit Card,Successful,iOS,Suburban
Hotel Booking,Villa,Treebo,7200.58,6.81,52.11,369,UPI,Successful,Android,Urban
Bus Ticket,Semi-Sleeper,MakeMyTrip Bus,5178.26,37.14,18.59,150,Debit Card,Successful,Android,Urban
Electricity Bill,Commercial Bill,Tata Power,6740.61,19.71,69.83,966,Credit Card,Successful,iOS,Suburban
Hotel Booking,Service Apartment,MakeMyTrip,5829.5,46.92,21.58,378,Credit Card,Successful,Android,Urban
Mobile Recharge,Annual Plan 2999,Airtel,6725.69,18.79,90.44,253,Wallet Balance,Successful,iOS,Urban
Education Fee,Python Programming Course,Vedantu,9096.53,20.56,84.62,134,UPI,Successful,iOS,Rural
Education Fee,MBA Entrance Prep,Vedantu,7579.06,47.34,28.31,241,Wallet Balance,Successful,Android,Urban
Gift Card,Rs. 1000 Shopping Voucher,Flipkart,650.94,27.82,88.11,966,Credit Card,Successful,iOS,Rural
Flight Booking,Delhi to Mumbai,MakeMyTrip,1953.35,11.33,75.31,349,UPI,Successful,Android,Urban
Internet Bill,Broadband 50Mbps Plan,Hathway,4899.77,38.46,94.07,162,Bank Transfer,Successful,Android,Urban
Online Shopping,Laptop Backpack,Snapdeal,5035.47,12.53,51.85,705,Credit Card,Successful,Android,Urban
Grocery Shopping,Whole Wheat Atta,BigBasket,4899.12,9.35,53.19,459,Debit Card,Successful,Android,Suburban
Taxi Fare,Share Ride,Jugnoo,794.4,27.29,8.36,962,Wallet Balance,Successful,Web,Urban
Water Bill,Commercial Property,Chennai Metro Water,2233.62,37.07,83.77,347,Debit Card,Successful,Android,Suburban
Rent Payment,2BHK Flat Deposit,OYO Life,5761.63,9.6,64.09,927,Bank Transfer,Successful,iOS,Urban
Movie Ticket,Avengers: Endgame,PVR Cinemas,8464.0,21.43,87.66,412,UPI,Successful,iOS,Urban
Hotel Booking,Villa,Treebo,2153.4,4.04,71.17,950,UPI,Successful,Android,Suburban
Mobile Recharge,Prepaid Plan 399,BSNL,6038.96,36.28,62.97,994,Credit Card,Successful,Web,Suburban
Grocery Shopping,Refined Sunflower Oil,Grofers,3338.5,22.63,53.33,538,UPI,Successful,Android,Urban
Bus Ticket,Non-AC Seater,RedBus,1327.83,14.79,75.86,579,Debit Card,Successful,Android,Urban
Education Fee,Python Programming Course,Vedantu,5177.35,31.29,79.01,129,Debit Card,Successful,Android,Suburban
Insurance Premium,Term Life Policy,HDFC Life,6414.01,3.56,24.74,784,Debit Card,Successful,iOS,Urban
Insurance Premium,Health Insurance,Max Life,6011.13,23.15,19.66,824,UPI,Successful,Web,Urban
Education Fee,Python Programming Course,Unacademy,3877.34,14.07,35.71,854,Bank Transfer,Successful,Android,Urban
Rent Payment,1BHK Apartment Rent,NoBroker,2593.37,48.97,53.01,383,Credit Card,Successful,iOS,Urban
Mobile Recharge,Prepaid Plan 399,Idea,686.9,20.81,85.22,255,Credit Card,Successful,Android,Suburban
Insurance Premium,Motor Insurance,LIC,3300.42,0.38,41.73,509,Wallet Balance,Successful,iOS,Rural
Bus Ticket,Semi-Sleeper,Goibibo,2964.91,40.41,83.89,779,Wallet Balance,Successful,iOS,Urban
Gift Card,Rs. 2000 Gift Voucher,Flipkart,5807.42,46.6,85.94,164,Credit Card,Successful,iOS,Suburban
Insurance Premium,Health Insurance,Max Life,7306.43,28.36,25.21,980,Wallet Balance,Successful,Android,Suburban
Education Fee,IELTS Training,BYJU'S,2840.44,11.93,68.39,19,Credit Card,Successful,iOS,Rural
Taxi Fare,Airport Transfer,Ola,7432.42,45.67,70.36,291,Credit Card,Successful,Android,Urban
Loan Repayment,Education Loan EMI,SBI,5780.92,49.07,95.24,937,Bank Transfer,Pending,Web,Urban
Gift Card,Rs. 1000 Shopping Voucher,Lifestyle,5023.52,7.45,48.39,671,Debit Card,Successful,Android,Urban
Gas Bill,Commercial Gas Connection,Bharat Gas,68.91,41.75,32.61,794,Credit Card,Successful,iOS,Urban
Gas Bill,Piped Natural Gas,Gujarat Gas,1754.64,38.31,27.99,723,UPI,Successful,iOS,Urban
Bus Ticket,Semi-Sleeper,AbhiBus,8966.82,0.41,42.97,174,Bank Transfer,Successful,iOS,Urban
Water Bill,Borewell Charges,Bangalore Water Supply,7698.34,11.47,57.95,609,Wallet Balance,Successful,Web,Urban
Hotel Booking,Suite,Treebo,7626.32,11.43,73.22,753,Bank Transfer,Successful,iOS,Suburban
Food Delivery,Vegetable Biryani,Foodpanda,5399.76,43.43,54.2,641,Bank Transfer,Successful,Android,Rural
Loan Repayment,Home Loan EMI,Bajaj Finserv,3228.1,9.36,71.62,917,UPI,Successful,Android,Urban
Streaming Service,Family Subscription,Netflix,8170.9,41.52,41.34,731,UPI,Successful,Android,Suburban
Rent Payment,Commercial Space Rent,Nestaway,8925.4,19.43,66.62,584,Credit Card,Failed,iOS,Urban
Gift Card,Rs. 2000 Gift Voucher,Amazon Pay,3851.99,8.34,12.0,34,UPI,Pending,Android,Urban
Education Fee,MBA Entrance Prep,Unacademy,5556.83,25.21,17.18,498,Wallet Balance,Successful,iOS,Urban
Food Delivery,Masala Dosa,Swiggy,8010.26,41.93,15.72,506,Wallet Balance,Successful,Android,Suburban
Flight Booking,Pune to Goa,Yatra,2358.62,48.58,5.98,31,UPI,Successful,Android,Urban
Education Fee,Data Science Bootcamp,Udemy,6800.22,42.34,76.16,498,Debit Card,Successful,Android,Suburban
Insurance Premium,Health Insurance,SBI Life,9710.95,43.34,47.58,58,Wallet Balance,Successful,Android,Suburban
Streaming Service,Basic Plan,Netflix,9489.48,39.13,88.86,353,Credit Card,Successful,Android,Urban
Loan Repayment,Car Loan Installment,ICICI Bank,8469.26,12.76,93.07,332,Credit Card,Successful,iOS,Urban
Water Bill,Residential Connection,Delhi Jal Board,1377.83,44.75,58.9,322,UPI,Successful,iOS,Urban
Movie Ticket,3 Idiots,INOX,627.23,33.01,17.97,661,Bank Transfer,Successful,iOS,Urban
Taxi Fare,Rental Package,Uber,3031.17,39.22,67.27,207,Credit Card,Successful,Android,Urban
Electricity Bill,Agricultural Bill,Reliance Energy,7030.42,15.2,13.06,293,UPI,Successful,Android,Urban
Gas Bill,Auto LPG,Mahanagar Gas,5252.05,29.1,46.72,948,Credit Card,Successful,Android,Urban
Rent Payment,1BHK Apartment Rent,Housing.com,1177.9,26.62,15.21,534,Bank Transfer,Failed,iOS,Rural
Mobile Recharge,Prepaid Plan 399,BSNL,6439.89,11.01,32.0,169,UPI,Successful,iOS,Urban
Food Delivery,Masala Dosa,Foodpanda,7499.19,45.25,72.61,785,Debit Card,Successful,Android,Suburban
Streaming Service,Family Subscription,Amazon Prime,8989.8,2.57,51.28,590,Bank Transfer,Successful,Android,Urban
Food Delivery,Masala Dosa,Domino's,1535.44,15.38,79.36,600,Bank Transfer,Successful,iOS,Urban
Food Delivery,Pizza Margherita,Uber Eats,5182.7,41.49,82.86,262,Wallet Balance,Successful,Android,Urban
Education Fee,Python Programming Course,Vedantu,1038.09,31.7,77.83,232,Credit Card,Failed,iOS,Urban
Gaming Credits,1000 Game Coins,Call of Duty Mobile,7758.49,0.82,85.52,99,Debit Card,Successful,Android,Rural
Water Bill,Residential Connection,Hyderabad Water Board,1160.47,26.48,22.47,672,Debit Card,Successful,iOS,Suburban
Online Shopping,Fitness Tracker,Flipkart,5901.48,7.12,51.71,901,Bank Transfer,Successful,iOS,Urban
Hotel Booking,Villa,Airbnb,1110.66,23.67,89.68,649,Debit Card,Successful,iOS,Urban
Streaming Service,Basic Plan,SonyLIV,1748.93,0.6,2.89,117,UPI,Successful,iOS,Suburban
Food Delivery,Butter Chicken,Uber Eats,7179.11,3.77,23.97,859,Bank Transfer,Successful,Android,Urban
Movie Ticket,3 Idiots,Carnival Cinemas,3272.39,41.74,68.48,902,Bank Transfer,Successful,iOS,Urban
